,sentence,entities
169,"This is one possible unifying theory by how
psychedelics demonstrate transdiagnostic therapeutic ef ﬁcacy.
Dölen et al.",['This']
170,"hypothesized that these pro-social effects underlyimprovements in socialization in adults with autism and socialanxiety following MDMA-assisted therapy ( Danforth et al.,
2018 ).",['Danforth']
171,"Notably other potent plasticity promoting compounds, like
cocaine, failed to reopen the social reward learning critical period,lending possible credence to the hypothesis that social rewardlearning in adulthood is mediating mechanism for the
therapeutic ef ﬁcacy of MDMA and other psychedelics ( Nardou
et al., 2023 ).","['Notably', 'Nardou']"
172,While Nardou et al.,"['Nardou', 'While']"
173,"(2023) found that various doses
of LSD, 1 –50 ug/kg, produced these effects on social critical learning
period, earlier studies found that only repeated, but not acute, LSDadministration (30 ug/kg, once a day, for 7 days) was able to affectsocial behavior in the direct social interaction experimentalparadigm ( de Gregorio et al., 2021 ).",['Gregorio']
174,"So, similar treatment
protocols may produce differing modulations on immediate
social behavior and (memory-related process of) social learning.
Furthermore, de Gregorio et al.","['Furthermore', 'Gregorio']"
175,"(2021) demonstrated that the effects
of LSD on social behavior were mediated by the potentiation ofmPFC excitatory transmission via 5HT
2A/AMPA receptor and
mTOR (which is also implicated in the plasticity pathways)signaling.",['receptor']
176,"A later study by De Gregoria et al further elucidatedmechanisms underlying the behavioral effects of LSD by showingthat increases in mPFC activity might also be driven by LSD-
mediated attenuation of neuronal activity in the dorsal raphe
nucleus activity via the desensitization of their 5-HT
1Areceptors
(De Gregorio et al., 2022 ).","['receptor', 'Gregoria', 'Gregorio']"
177,"Moreover, understanding the effects of
different psychedelics across distinct brain regions will facilitate animproved understanding of the modes of action, as well as the nature
of the disorders.
Neuronal plasticity is crucial in memory formation, such as
during the encoding phase, where the hippocampus integratesvarious sensory inputs into distinct neural patterns, and duringthe consolidation phase, where these memories transition to cortical
networks.","['Moreover', 'Neuronal']"
178,"In rodents, LSD treatment during the consolidation stage
reveals a bell-shaped response curve for novel object recognition, atask hippocampal dependent memory process ( Orn et al., 2022 ).
Though these researchers attribute this to decreased plasticity athigher doses, evidence indicates that LSD maintains its plasticity-enhancing effects even at these higher concentrations ( Ly et al., 2018 ;
Orn et al., 2022 ).","['Though', 'Orn']"
179,"This same study used in silico simulations of
cortical-hippocampal networks (with standard memory and
decision-making modules), which predicted dose-dependent
memory consolidation improvements matching the experimentaloutcomes seen in rodents ( Orn et al., 2022 ).","['This', 'Orn']"
180,"This computational
model interestingly implies that the prefrontal cortex ’s plasticity is
not essential for these effects on memory.",['This']
181,"Human studies have alsodemonstrated how the administration of low sub-perceptual dosesof LSD (50 μg) humans, immediately after encoding is able to
enhance certain types of memory consolidation ( Orn et al., 2022 ;
Wießner et al., 2022 ).","['Human', 'Orn']"
182,Recent reanalysis study by Doss et al.,"['Recent', 'Doss']"
183,"However, psychedelics appear to enhance familiarity(which is a cortical memory process) when administered during theencoding phase, potentially indicating a positive modulation ofcortical memory processes.",['However']
184,"Ultimately, the effects of psychedelicson memory vis-à-vis plasticity modulation requires further
investigation and may help inform the potential utility of
psychedelics in speci ﬁc clinical contexts.
Additional changes in neuronal morphology and function may
involve changes in gene expression across different brain regionsand temporal scales.","['Ultimately', 'Additional', 'gene']"
185,"For example, acute treatment with serotonergicpsychedelic 5-MeO-DMT in human induced pluripotent stem cell-derived (hiPSC) cerebral organoids, revealed a modulatory effect onover 900 genes associated with long-term potentiation, dendritic
neurogenesis, microtubule dynamics, and cytoskeletal
reorganization ( Dakic et al., 2017 ).","['Dakic', 'gene', 'For']"
186,"Expression of various cell
surface and extracellular proteins involved in regulating synapticarchitecture, e.g., plexins and integrins, was also upregulated by 5-MeO-DMT.","['Expression', 'protein']"
187,"Similarly, in rodents and neuronal organoids, LSD hasbeen shown to increase expression of genes involved in modulatingsynaptic plasticity, axon guidance, glutamatergic signaling, andcytoskeletal architecture ( Nichols and Sanders-Bush, 2002 ;Orn
et al., 2022 ).","['Nichols', 'Similarly', 'Orn', 'gene', 'Bush', 'Sanders']"
188,"Many genes and proteins regulating plasticity are
implicated in disorders like depression; There is accumulatingpre-clinical evidence suggesting that psychedelic treatments mayexert their antidepressant effects, at least in part, by modulating theexpression of these genes and proteins ( Inserra et al., 2022 ).","['Many', 'protein', 'gene', 'Inserra', 'There']"
189,"The
induction of plasticity by psychedelic may also underly reportedincreases in cognitive ﬂexibility and creativity ( Prochazkova et al.,
2018 ;Girn et al., 2020 ).","['Girn', 'Prochazkova', 'The']"
190,"However, the functional and behavioral
signiﬁcance or causality of changes in gene expression induced by
psychedelics has yet to be thoroughly investigated in vivo .
The contribution of plasticity mechanisms to fast-acting versus
long-term effects of psychedelics at a cellular and network level
Frontiers in Pharmacology frontiersin.org 08Acero et al.","['gene', 'The', 'Pharmacology', 'However', 'Frontiers']"
191,"Likewise, contribution of
elevated plasticity within a single region, or synergistic interactionsacross regions, on symptom improvement remains poorly
understood.",['Likewise']
192,"While psychoplastogenic properties of psychedelics
are undoubtedly important in its effects and merit furtherinvestigation, we want to highlight that plasticity enhancement isnot a satisfactorily de ﬁning feature of psychedelic compounds.
Cocaine is also capable of triggering multiple plasticitymechanisms, i.e., dendritic arborization and synapse formation,despite having none of the psychedelic ’s effects on consciousness
or therapeutic utility ( Lee and Dong, 2011 ).","['While', 'Dong', 'Cocaine', 'Lee']"
193,This is likely a more distinct characteristic of psychedeliccompounds and helps how psychedelics enhance standardtherapeutic protocol ef ﬁcacy.,['This']
194,"Nonetheless, the capacity for
psychedelics to modulate a myriad plasticity regulatingmechanisms implicates psychedelics as potential
pharmacotherapies in diseases such as neurodegeneration andneurotrauma disorders.","['Nonetheless', 'gene']"
195,"At the moment, there are research
institutions and companies seeking to exploit the
psychoplastogenic properties of psychedelics in the treatment ofthese classes of disorders.
3.3 Neuroendocrine modulation
In the hypothalamus-pituitary-adrenal (HPA) axis, secretion of
corticotropin-release factor (CRF) from the hypothalamus induces
secretory activity from the pituitary, which then induces the adrenalgland to release hormones such as cortisol and adrenaline(Figure 4A ).","['Figure', 'Neuroendocrine']"
196,"The HPA axis is a key regulator of physiological
stress, metabolism, and in ﬂammation; cortisol has even been
shown to regulate behavioral adaptation in stressful situations.Yet, its disruption, even acutely, can have long-lasting effects.","['Yet', 'The']"
197,"For
FIGURE 4
Psychedelics may modulate HPA axis signaling.","['Psychedelics', 'For']"
198,"(A)This schematic shows the healthy stress response within the Hypothalamus-pituitary-adrenal
axis within the neuroendocrine system.","['Hypothalamus', 'This']"
199,"The hypothalamus (1), which is composed of multiple sub-regions (colored), secretes corticotropin-releas ing
hormone (CRH), which induces Adrenocorticotropic hormone (ACTH) secretion from the anterior pituitary (2), which induces cortisol release from th e
adrenal gland.","['Adrenocorticotropic', 'The']"
200,Cortisol imparts various metabolic effects and regulates the HPA axis in a negative feedback loop.,['Cortisol']
201,"(B)This schematic shows the
pathway for stimulation of melatonin.",['This']
202,"In response to day-light, the superchiasmatic nucleus (SCN), a subregion of the hypothalamus, will release GA BA
which will allow for downstream excitation of the Superior Cervical Ganglion (SCG).","['Ganglion', 'Cervical', 'Superior']"
203,"The SCG will release norepinephrine directly onto the pineal gla nd
which produces melatonin.",['The']
204,"Melatonin will regulate SCN activity in a negative feedback loop and regulate circadian rhythm, immune function, and theendocrine system.",['Melatonin']
205,"(C)The neurons in the hypothalamus which produce CRF can be directly excited by norepinephrine or serotonin and inhibited by
opioids and GABA.",['The']
206,"Psychedelics, e.g., LSD and salvinorin A, may directly regulate HPA activity by acting directly on these CRF-producing neurons.",['Psychedelics']
207,"Th is is
merely one example, there are multiple nodes within the HPA, and other endocrine systems, which express receptors that would have an af ﬁnity to
various psychedelic compounds.
Frontiers in Pharmacology frontiersin.org 09Acero et al.","['Pharmacology', 'receptor', 'Frontiers']"
208,"10.3389/fphar.2023.1240295 instance, exposure to traumatic and stressful events can result in
HPA hyper-reactivity, immune activation, and pro-in ﬂammatory
cytokine release.",['cytokine']
209,"Pathological HPA axis activation can lead tocircadian disruption, weight gain, a chronic pro-in ﬂammatory
state ( Johnson et al., 2019 ;Maydych, 2019 ).","['Maydych', 'Pathological', 'Johnson']"
210,"Further, HPA axis
abnormalities, such as elevated or depressed baseline cortisol levels,
are present in individuals with depression and PTSD, respectively
(Daskalakis et al., 2013 ).","['Daskalakis', 'Further']"
211,"Also, serum melatonin levels and melatonin
receptor 1 immunoreactivity in key brain regions are reduced inpatients with depression, and antidepressants appear to reverse this(Figure 4B )(Wu et al., 2013 ).","['Figure', 'receptor', 'Also']"
212,"In fact, melatonin might serve as a
readout of noradrenergic function following treatment withantidepressants.
It is possible that psychedelics may positively regulate endocrine
function via 5-HT, dopamine, or sigma-1 receptor (Sig-1R)
signaling in the HPA axis ( Van De Kar et al., 2001 ;Johnson
et al., 2019 ).","['Kar', 'Van', 'Sig', 'Johnson', 'receptor']"
213,"For instance, psychedelics could modulate CRF
production in the hypothalamus by stimulating 5-HT receptors,and thus regulate downstream HPA axis function ( Figure 4C ).
Moreover, MDMA and DOI can directly modulate activity in theraphe nucleus which directly regulates HPA activity via projectionsto the suprachiasmatic nucleus and pineal gland ( Figure 4B ).","['Moreover', 'Figure', 'receptor', 'For']"
214,"In fact,
mescaline, DOI, and LSD have all been shown to stimulate
melatonin release from rat pineal tissue in vitro (Shein et al.,
1971 ;Steardo et al., 2000 ).","['Shein', 'Steardo']"
215,"LSD ’s concentration is also the
highest in the pituitary and pineal glands, up to 7 –8 times as
high as in the PFC ( Passie et al., 2008 ).
In clinical trial participants, DOI has been shown to increase
serum levels of oxytocin, prolactin, corticosterone, and ACTH ( Van
De Kar et al., 2001 ).","['Kar', 'Van', 'Passie']"
216,"Likewise, MDMA and MDA have been shown
to increase serum levels of prolactin and cortisol in patients ( Baggott
et al., 2019 ).","['Likewise', 'Baggott']"
217,"Another clinical study demonstrated that closely spaced
repeat administration of DMT could produce a tolerance to ACTH,cortisol, and prolactin stimulation ( Strassman et al., 1996 ).","['Another', 'Strassman']"
218,"The
capacity for ayahuasca, to modulate sleep parameters, e.g., REM andslow-wave sleep phases, further suggests effects on theneuroendocrine system ( Figure 4B )(Barbanoj et al., 2008 ).","['Barbanoj', 'Figure', 'The']"
219,"Yet,
the primary mechanisms driving changes in neuroendocrine
function, such as indirect serotonergic action on the raphe
nucleus or direct action on the hypothalamus, are unclear.
Although psychedelic modulation of the endocrine system has
been shown in clinical trials and in vitro, there have been no
assessments of changes in non-healthy volunteers, i.e., patientswith PTSD or MDD, so the clinical relevance of these effects isunknown.","['Yet', 'Although']"
220,"Yet, modulation of the neuroendocrine system couldmeasurably explain the clinical effects in patients.",['Yet']
221,"Ultimately, given
that manipulation of the HPA axis can have demonstrable long-term
effects, and that psychedelics have been shown to modulate HPAaxis activity, it should be investigated as one of the therapeutictargets of psychedelic compounds ( Sackler et al., 1966 ).
3.4 Immunomodulation
The theory of in ﬂammation underlying psychiatric illness has
gained traction in recent years.","['Ultimately', 'Immunomodulation', 'The', 'Sackler']"
222,"In fact, there is evidence thatimmune mechanisms, such as microglial activation, contributesigniﬁcantly to pathologies underlying neurological disorderssuch as schizophrenia, depression, and Alzheimer ’s disease
(Müller, 2018 ;Nirzhor et al., 2018 ;Lee and Giuliani, 2019 ).
There is also evidence that PTSD is associated with the presenceof a low-grade in ﬂammatory state and a signi ﬁcant difference in
amounts of speci ﬁc pro-in ﬂammatory cytokines, acute-phase
proteins, and immune cells ( Speer et al., 2018 ).","['schizophrenia', 'protein', 'There', 'cytokine', 'Alzheimer', 'Speer', 'Nirzhor', 'Lee', 'Giuliani', 'alzheimer']"
223,"Similarly, there is
an increase in pro-in ﬂammatory immune markers, and a reduction
in anti-in ﬂammatory IL-4, in individuals with depression ( Osimo
et al., 2020 ).","['Similarly', 'Osimo']"
224,"The signi ﬁcance of this is corroborated by evidence that
anti-in ﬂammatory drugs, e.g., cytokine inhibitors, statins, and
minocycline, can signi ﬁcantly attenuate depression ratings ( Bai
et al., 2020 ).","['cytokine', 'The', 'Bai']"
225,"So, it is possible that anti-depressive and anxiolytic
effects of psychedelics could be partially mediated byimmunomodulation of a pathological in ﬂammatory state.
Expression of 5-HT
2receptors on immune-associated tissue,
e.g., lymphoid and thymus, as well as immune cells like microgliaand macrophages might mediate a psychedelic-inducedimmunomodulatory effect ( Flanagan and Nichols, 2018 ).","['Flanagan', 'receptor', 'Expression', 'Nichols']"
226,"For
example, LSD in vitro was found to signi ﬁcantly inhibit
proliferation of B cells and secretion of cytokines IL-2, IL-4, andIL-6 ( House et al., 1994 ).","['House', 'cytokine', 'For']"
227,"Although anti-in ﬂammatory action
appears to be ubiquitous amongst psychedelics, DOI appears to
have an especially potent anti-in ﬂammatory effect on peripheral
tissue ( Nau et al., 2013 ).","['Although', 'Nau']"
228,"At picomolar concentrations, DOI
treatment can repress tumor necrosis factr alpha (TNF-alpha)induced in ﬂammation, expression of genes encoding adhesion
molecules, e.g., ICAM-1 and VCAM-1 (whose overexpression isassociated pathological vascular permeability and immune cellinﬁltration into tissue), and pro-in ﬂammatory IL-6 levels in rat
aortic tissue ( Yu et al., 2008 ).",['gene']
229,"(Note, there has been a recent shift in
the nomenclature in which TNF-alpha is referred to as TNF and
TNF-beta is referred to as Lymphotoxin-alpha.) Incredibly, hoursafter TNF-alpha stimulation, treatment with a single administrationof DOI was still able to attenuate in ﬂammation ( Carhart-Harris1
et al., 2018 ).","['Note', 'Carhart', 'Lymphotoxin', 'Incredibly']"
230,"This may be mediated by DOI inhibition of nuclear
translocation of NF-kB, a central genetic immunomodulator.Similarly, treatment of hiPSC-derived cerebral organoids with 5-MeO-DMT downregulates NF-kB and nuclear factor of activated
T-cells (NFAT) signaling pathways ( Dakic et al., 2017 ).
The Sigma-1 receptor (Sig-1R), which is localized to
mitochondria-associated endoplasmic reticulum membrane, is amajor modulator in ﬂammatory signaling and cellular stress
responses ( Smith and Su, 2017 ).","['This', 'Similarly', 'Sigma', 'The', 'gene', 'Sig', 'Dakic', 'receptor', 'Smith']"
231,"Interestingly, Sig-1Ractivation
produces anti-depressant effects in rodents, and various anti-depressant drugs and psychedelic compounds, e.g., DMT and 5-MeO-DMT, are potent Sig1R agonists ( Robson et al., 2012 ;Frecska
et al., 2016 ).","['Frecska', 'Sig', 'Robson', 'Interestingly']"
232,"Treatment of human primary monocyte-derived
dendritic cells (moDCs) with DMT or 5-MeO-DMT followinglipopolysacharide (LPS) stimulation, inhibited the production ofproin ﬂammatory cytokines, increased secretion of anti-
inﬂammatory cytokines, and inhibited moDC mediated T-cell
activation ( Szabo et al., 2014 ).","['cytokine', 'Szabo', 'Treatment']"
233,"Similarly, ibogaine has a high
afﬁnity for the sigma-2 receptor (Sig-2R).","['Sig', 'receptor', 'Similarly']"
234,"Sig-2Rs agonists have
been shown to have immunomodulatory action by attenuating
expression TNF-alpha and IL-2 by inhibition of transcription
factors like NFAT.
The endocannabinoid system, composed of CB1 and
CB2 receptors which are mostly expressed in the brain and by
Frontiers in Pharmacology frontiersin.org 10Acero et al.","['The', 'Sig', 'Pharmacology', 'receptor', 'Frontiers']"
235,"10.3389/fphar.2023.1240295 immune cells, respectively, is also involved in immunoregulation.
Cannabinoid drugs have been shown to induce potent anti-inﬂammatory effects for patients with chronic pain, skin
inﬂammation, and intestinal in ﬂammation ( Kunos and Pacher,
2004 ;Barrie and Manolios, 2017 ;Tóth et al., 2019 ).","['Kunos', 'Barrie', 'Pacher', 'Manolios', 'Cannabinoid']"
236,"Although
salvinorin A is a potent KOR agonist, direct activation ofCB1 receptor mediates a synergistic ultra-potent anti-in ﬂammatory
action on LPS-stimulated macrophages in vitro and in vivo ,a s
evidenced by signi ﬁcant reductions in levels of macrophage-
produced nitrite, TNF-alpha, IL-10, and inducible nitric oxidesynthase (NOS) ( Fichna et al., 2012 ).","['receptor', 'Although', 'Fichna']"
237,"Notably, salvinorin A was
found to have no cytotoxicity in macrophages or effects onmitochondrial respiration.",['Notably']
238,"Salvinorin A, in a KOR and
CB1 receptor dependent manner, was also able to reduce formalin
induced in ﬂammation-sustained pain in rodents.","['Salvinorin', 'receptor']"
239,"The indirect
activation of CB1 receptors by Salvinorin A may be driven by theformation of functional heterodimers between CB1 receptors andKORs, or signaling through a common G-protein.","['Salvinorin', 'receptor', 'The', 'protein']"
240,"While promisingfor various clinical indications, at present, the short half-life and waterinsolubility of salvinorin A are obstacles to clinical use.
FIGURE 5
Glial cells, e.g., oligodendrocytes (green), astrocytes (purple), and microglia (orange), modulate a wide array of neuronal (orange) processes.","['Glial', 'While']"
241,"(A)
Microglia, the resident immune cell of the brain, mediates phagocytosis of debri, and have even been implicated in synaptic pruning (a crucial proces si n
memory formation).",['Microglia']
242,"(B)Astrocytes and microglia also release neutrophins, e.g., BDNF and GDNF, growth factors, e.g., NGF, and cytokines, e.g., IL-10.","['cytokine', 'Astrocytes']"
243,"(C)
Tessellating astrocyte networks, syncytium, composed of gap-junctions (astrocyte-astrocyte communication) and tripartite synapses (neuron-astrocyte communication) has been proposed to mediate higher-level cognitive processes.",['Tessellating']
244,"Although astrocytes are electrically inert, they mediat e
information processing via Ca
2+wave oscillations.",['Although']
245,"Also, astrocytes express receptors for all neurotransmitters and neuromodulators, allowing for
accurate sensing of neuronal network activity.","['receptor', 'Also']"
246,"(D)Oligodendrocytes primarily mediate myelination of axons, however, astrocytes regulate this process as
well.",['Oligodendrocytes']
247,(E)Astrocytes form a tripartite synapse by encasing neuronal pre-synaptic and post-synaptic terminals.,['Astrocytes']
248,"They can regulate neuronal plasticity, e.g.,
synaptogenesis, and tune synaptic strength.","['gene', 'They']"
249,"(F)Astrocytes regulate blood brain barrier (BBB) activity, i.e., increase cerebrovascular blood ﬂow in response
to neuronal activity, and facilitate nutrient transport to neurons.
Frontiers in Pharmacology frontiersin.org 11Acero et al.","['Pharmacology', 'Frontiers', 'Astrocytes']"
250,"10.3389/fphar.2023.1240295 Future investigations should assess the individual and
synergistic contribution of 5-HT, Sig-1/2R, and CBD-1/2 receptorstimulation to the potent anti-in ﬂammatory effect of psychedelics.
Moreover, it is necessary to understand the contribution of the anti-inﬂammatory effects of on the observed clinical symptom relief.
Disease models will be crucial in uncovering the full therapeutic
scope of psychedelics as small-molecule anti-in ﬂammatory agents.
3.5 Glial modulation
Glial cells are indispensable to healthy brain function.","['Glial', 'Moreover', 'Future', 'Sig', 'Disease', 'receptor']"
251,"They
regulate synapse formation and transmission while also providingmetabolic support to neurons and their dysregulation can contribute
to disease and behavioral or cognitive impairment ( Figure 5 ).
Astrocytes, speci ﬁcally, are notable given that their functional
complexity increases throughout our phylogenetic tree, suggestingtheir involvement in the genesis of human behavior and cognition(Fan and Agid, 2018 ).","['Fan', 'They', 'Astrocytes', 'gene', 'Figure', 'Agid']"
252,"Incredibly, a single astrocyte ’s capacity to
form up to 140,000 tripartite synapses could also serve as a means ofcomputationally integrating activity from a large population ofneurons ( Robertson, 2013 ;Shan et al., 2021 ).","['Robertson', 'Shan', 'Incredibly']"
253,"Further, it is
possible that the complex geometric matrix constructed by
seamless tessellating astrocyte domains, functionally connected bygap junctions, provides a template for the generation ofconsciousness via integration of whole-brain information acrossmultiple spatial and temporal scales ( Robertson, 2013 ).
Changes in glial function are also associated with mood
disorders, e.g., depression and obsessive-compulsive disorders,neurodegenerative disorders, e.g., Parkinson ’s disease, and (e.g.,
TBI and stroke).","['Robertson', 'gene', 'Changes', 'Further', 'parkinson', 'Parkinson']"
254,"In Parkinson ’s disease, impairment of endogenous
microglial phagocytosis may contribute to the chronic pathology ofthe disease.","['parkinson', 'Parkinson']"
255,"Understanding the effects psychedelics impart on glialcells might reveal an entirely new avenue for therapeuticapplications.
Given that astrocytes can express virtually all known
neurotransmitter receptors, and are functionally coupled toneurons, it is unfathomable that they are not affected bypsychedelic compounds.","['Understanding', 'receptor', 'Given']"
256,"Also, since psychedelics are potentpsychoplastogens, it is possible that astrocyte morphology andfunctionality would be dramatically affected by psychedelics inresponse to robust structural and functional changes in theneuronal population ( Ly et al., 2018 ).",['Also']
257,"In fact, the rapid anti-
depressive effects of (S)-ketamine in rats are associated with an
increase in astrocyte size as well as length and number of astrocyteprocesses in the CA1 subregion of the hippocampus, an area crucialin learning and memory formation ( Ardalan et al., 2017 ).",['Ardalan']
258,"Moreover,
glial derived neurotrophic factor expression (GDNF) is potentiatedin multiple brain regions by ibogaine and is both necessary andsufﬁcient for mediating anti-addictive effects ( Marton et al., 2019 ).
Also, salvinorin A-induced KOR stimulation increases proliferation
of astrocytes in vitro .","['Moreover', 'Also', 'Marton']"
259,"Furthermore, salvinorin A mitigates microglial
and astrocyte pro-in ﬂammatory activation in vivo following
treatment with formalin ( Mclennan et al., 2008 ;Guida et al.,
2012 ).","['Guida', 'Furthermore', 'Mclennan']"
260,"DMT and psilocin have also been shown in vitro tomodulate microglia functionality, speci ﬁcally, decreasing pro-
inﬂammatory signaling and phagocytic activity ( Koz łowska et al.,
2021 ).
It is possible that modulation of glial expressed circadian clock
regulators, e.g., PER1 , may also underlie psychedelic induced
changes in sleep/wake cycles ( Kay and Martin, 1978 ;Barbanoj
et al., 2008 ;Gould et al., 2020 ).","['Martin', 'Gould', 'Barbanoj', 'Kay', 'Koz']"
261,"For instance, ayahuasca
administration has been shown to decrease REM power, increaseREM onset, and decrease REM duration, but increase slow wavesleep (SWS) power in the ﬁrst night cycle.",['For']
262,"Likewise, LSD
administration in felines has been shown to decrease REM, whileincreasing wakefulness and drowsiness.",['Likewise']
263,"In fact, astrocytetranscription-translation negative feedback loops alone can drivecircadian behavior and molecular oscillations ( Brancaccio et al.,
2019 ).",['Brancaccio']
264,"Interestingly, DOI has been shown to transcriptionally
activate astrocytes and increase cfos and PER1 expression in the
somatosensory and prefrontal cortex ( Martin and Nichols, 2016
;
Kyzar et al., 2017 ).","['Kyzar', 'Martin', 'Nichols', 'Interestingly']"
265,"It is possible that psychedelic action on neuronal
populations is directly mediated and dependent on glial function.Thus, it is necessary to understand the multi-faceted in ﬂuences and
related direction(s) of causality between astrocytes and neuronsfollowing psychedelic treatment.
3.6 Epigenetics
Epigenetic processes, i.e., regulation of gene expression and
protein translation by DNA methylation, histone modi ﬁcation,
and mRNA degradation or suppression ( Figure 6 ), is being
considered as a potential mechanism in mediating long-lasting
vulnerability to psychological and physiological disorders ( Tietjen
et al., 2010 ;Maleki et al., 2012 ).","['Epigenetic', 'Epigenetics', 'Maleki', 'protein', 'gene', 'Tietjen', 'Thus', 'Figure']"
266,"For instance, there is a strong
association between DNA methylation of the BDNF promotor geneand PTSD diagnosis in combat-exposed veterans ( Kim et al., 2017 ).
Incorporating epigenetic mechanisms into our understanding ofdiseases, e.g., substance abuse and depression, may elucidate whytransgenerational risk factors are associated with most mental illness(Bowers and Yehuda, 2016 ;Klengel et al., 2016 ;Burchert et al.,
2017 ).","['Burchert', 'Yehuda', 'gene', 'Bowers', 'Kim', 'Klengel', 'For', 'Incorporating']"
267,"This also helps to bridge our understanding of how non-
genetic factors such as sex hormones, stress hormones, andinﬂammation can modulate psychological wellbeing ( Smart et al.,
2015 ).
While the capacity for psychedelics to exploit epigenetic
mechanisms in order to mediate clinical symptom reduction hasnot been explicitly assessed, there are interesting ﬁndings which
merit further study.","['Smart', 'This', 'While', 'gene']"
268,"For instance, LSD has been shown to rapidly
increase histone acetylation in rabbit brain tissue ( Brown and Liew,
1975 ;Martin and Nichols, 2016 ).","['Martin', 'Nichols', 'Liew', 'Brown', 'For']"
269,"Chronic LSD administration has
also been shown to modulate DNA methylation at 635 CpG sites andcause differential expression of 178 proteins in the mouse PFC;however, only 4 genes and their protein product were identi ﬁed as
having greater methylation at intragenic CpG sites, increasedtranscription level, and greater expression.","['Chronic', 'gene', 'protein']"
270,"This limited overlapbetween DNA methylation and proteomic changes suggests that
DNA methylation by psychedelics may be suf ﬁcient for driving
changes in protein expression ( Inserra et al., 2022 ).","['Inserra', 'This', 'protein']"
271,"Another study
assessing associations between histone modi ﬁcations (H3K27ac)
and their correlations with gene expression found that a single
Frontiers in Pharmacology frontiersin.org 12Acero et al.","['Pharmacology', 'Another', 'gene', 'Frontiers']"
272,"10.3389/fphar.2023.1240295 dose of DOI is suf ﬁcient for inducing changes in chromatin
organization leading to increased activation of enhancers
associated with synaptic assembly and function ( de la Fuente
Revenga et al., 2021 ).","['Revenga', 'Fuente']"
273,"Interestingly, the majority of differentially
expressed genes exhibited transient changes in expression levels andwere not directly correlated with enhancer dynamics, indicating thatimmediate transcriptomic modi ﬁcations play a minor role.","['gene', 'Interestingly']"
274,"Instead,
the enduring impact of DOI on gene expression in the frontal cortexprimarily arises from long-lasting (at least 7 days) epigenomicmodi ﬁcations.","['Instead', 'gene']"
275,"These ﬁndings suggest that the psychedelic ’s
lasting effects are primarily mediated through stable changes in
the epigenome, rather than immediate transcriptomic alterations,which were relatively transient.",['These']
276,"Also, ketamine has been shown toinduce anti-depressive effects via stimulation of histone deacetylase5 (HDAC5) phosphorylation and nuclear export in rat hippocampalneurons ( Choi et al., 2015 ).","['Choi', 'Also']"
277,"Furthermore, ketamine induced
phosphorylation of HDAC5 has been shown to mediateupregulation of Bdnf promoter IV activity and expression of Bdnf
exon IV mRNAs in the hippocampal neurons ( Choi et al., 2017 ).
The Modern Spirit research project, in collaboration with
Multidisciplinary Association for Psychedelic Science, recentlypublished outcomes from a pilot study examining whetherepigenetic changes are associated with observed reduction ofpatient PTSD scores.","['Association', 'Furthermore', 'The', 'gene', 'Modern', 'Spirit', 'Bdnf', 'Multidisciplinary', 'Psychedelic', 'Choi', 'Science']"
278,"The pilot study had a small sample size, sowhile 37 out of 259 CpG sites identi ﬁed were signi ﬁcantly predictive
of symptom reduction, only 2 CpG sites, CRHR1 and NR3C1 ,
remained signi ﬁcant when subjected to false discovery rate
corrections.",['The']
279,"The CRHR1 site had the most signi ﬁcant change in
methylation in the MDMA group relative to the placebogroup.",['The']
280,"These changes in CRHR1 and NR3C1 agree with previous
studies that assessed methylation changes following regularpsychiatric treatment for patients with PTSD ( Yehuda et al.,
2013 ;Pape et al., 2018 ).","['Pape', 'Yehuda', 'These']"
281,"It is possible that with a larger study, themore of the 37 CpG sites identi ﬁed may be found to be signi ﬁcant
predictors of symptom reduction ( Lewis et al., 2023b ).
Psychedelics, if truly potent inducers of epigenetic changes,
might be an ideal tool for research into the epigeneticunderpinnings of mental illness.","['Psychedelics', 'Lewis', 'gene']"
282,"To advance general psychiatryand develop a sound understanding of the mechanisms behindthe long-term effects of psychedelics, human studies should strive toincorporate relatively low-cost epigenetic analysis.
3.7 Gut-brain axis
In addition to effects on targets in the brain, psychedelics may
also act through other organs, such as the gastrointestinal (GI) tract(Figure 7 ).","['Figure', 'Gut', 'gene']"
283,"Bidirectional communication between the GI tract and
the brain via “the gut-brain axis ”maintains homeostasis in both
organs, e.g., microglial development and immune function, bloodbrain barrier permeability, intestinal immune tolerance, and more
(Agirman and Hsiao, 2021 ).","['Bidirectional', 'Agirman', 'Hsiao']"
284,"In the past decade, the gut-brain axis
has been increasingly implicated in the pathogenesis and treatmentof anxiety, depression, substance use disorders, and numerous otherpsychiatric and neurodegenerative disorders.",['gene']
285,"It is regulated at theneural, endocrine, and immunological levels; involving roughly200 million enteric neurons and glial cells, specializedenteroendocrine cells, over 70% of the body ’s immune cells, and
trillions of microorganisms collectively known as “the gut
microbiota ”(Schneider et al., 2019 ).",['Schneider']
286,"Notably, many of these
cellular targets, including some bacteria, express the samereceptors as in the brain, suggesting direct action of psychedelicson this system via the same modes of action described above ( Fung
et al., 2019 ).
While the link between gastrointestinal and behavioral
symptoms is well-characterized, mechanistic causal explanations
FIGURE 6
Psychedelics can affect gene expression.","['While', 'gene', 'Notably', 'Psychedelics', 'Fung', 'receptor']"
